year,usa_price_low_usd,usa_price_high_usd,usa_price_mid_usd,argentina_price_low_ars,argentina_price_high_ars,argentina_price_mid_ars,argentina_price_low_usd_equiv,argentina_price_high_usd_equiv,argentina_price_mid_usd_equiv,usd_to_ars_official_rate
2015,10,15,12.5,80,120,100,10,12,11,9.5
2016,10,15,12.5,120,200,160,9,12,10.5,14.5
2017,12,18,15,200,300,250,9,12,10.5,17.5
2018,12,18,15,350,500,425,9,12,10.5,39
2019,15,20,17.5,700,900,800,9,12,10.5,61
2020,15,25,20,1000,1500,1250,10,13,11.5,83
2021,20,30,25,2000,2800,2400,10,13,11.5,101
2022,25,35,30,5000,7000,6000,13,15,14,260
2023,25,40,32.5,15000,30000,22500,13,16,14.5,575
2024,30,45,37.5,40000,70000,55000,13,15,14,925
2025,30,50,40,60000,100000,80000,13,15,14,1260
